2020021;8
20200213;9
20200214;9
20200215;9
20200216;9
20200217;9
20200218;9
20200219;9
20200220;9
20200221;9
20200222;9
20200223;9
20200224;9
20200225;13
20200226;13
20200227;13
20200228;16
20200229;20
20200301;23
20200302;36
20200303;39
20200304;51
20200305;89
20200306;118
20200307;167
20200308;210
20200309;277
20200310;323
20200311;373
20200312;460
20200313;594
20200314;802
20200315;1144
20200316;1395
20200317;1547
20200318;1954
20200319;3277
20200320;3983
20200321;5018
20200323;5687
20200324;6654
