2020021;42708
20200213;46550
20200214;63932
20200215;66576
20200216;68584
20200217;70635
20200218;72528
20200219;74280
20200220;74675
20200221;75569
20200222;76392
20200223;77042
20200224;77262
20200225;77780
20200226;78191
20200227;78630
20200228;78961
20200229;79394
20200301;79968
20200302;80174
20200303;80304
20200304;80422
20200305;80565
20200306;80711
20200307;80813
20200308;80859
20200309;80904
20200310;80924
20200311;80955
20200312;80981
20200313;80991
20200314;81021
20200315;81048
20200316;81077
20200317;81116
20200318;81116
20200319;81300
20200320;81416
20200321;81498
20200323;81601
20200324;81747
