2020021;3
20200213;3
20200214;3
20200215;3
20200216;3
20200217;3
20200218;3
20200219;3
20200220;3
20200221;3
20200222;9
20200223;76
20200224;124
20200225;229
20200226;322
20200227;400
20200228;650
20200229;888
20200301;1128
20200302;1689
20200303;2036
20200304;2502
20200305;3089
20200306;3858
20200307;4636
20200308;5883
20200309;7375
20200310;9172
20200311;10149
20200312;12462
20200313;15113
20200314;17660
20200315;21157
20200316;24747
20200317;27980
20200318;31506
20200319;41035
20200320;47021
20200321;53578
20200323;59138
20200324;63927
